ID_FILE_1,SOLVING_TIME_DEFAULT,SOLVING_TIME_CUSTOM
37_Enumerate_Alternative_Full_1_DEFAULT_3380_2-triple-9,0,0
52_Enumerate_Alternative_Full_1_DEFAULT_759_2-triple-9,0,0
61_Enumerate_Alternative_Full_1_DEFAULT_14189_2-triple-9,0,0
81_Enumerate_Alternative_Full_3_DEFAULT_2231_2-triple-9,0,0
56_Enumerate_Alternative_Full_2_DEFAULT_27702_2-triple-9,0.01,0
5_Enumerate_Alternative_Full_2_DEFAULT_22084_2-triple-9,0.01,0
52_Enumerate_Alternative_Full_1_DEFAULT_759_2-triple-12,0.01,0.01
97_Enumerate_Alternative_Full_1_DEFAULT_32033_2-triple-9,0.02,0
56_Enumerate_Alternative_Full_2_DEFAULT_27702_2-triple-12,0.02,0.01
61_Enumerate_Alternative_Full_1_DEFAULT_14189_2-triple-15,0.05,0.08
5_Enumerate_Alternative_Full_2_DEFAULT_22084_2-triple-12,0.05,0.02
52_Enumerate_Alternative_Full_1_DEFAULT_759_2-triple-15,0.07,0.11
61_Enumerate_Alternative_Full_1_DEFAULT_14189_2-triple-12,0.08,0.01
37_Enumerate_Alternative_Full_1_DEFAULT_3380_2-triple-12,0.09,0.01
81_Enumerate_Alternative_Full_3_DEFAULT_2231_2-triple-12,0.14,0.19
52_Enumerate_Alternative_Full_1_DEFAULT_759_Un-2-triple-9,0.21,0.22
81_Enumerate_Alternative_Full_3_DEFAULT_2231_Un-2-triple-9,0.22,0.19
56_Enumerate_Alternative_Full_2_DEFAULT_27702_2-triple-15,0.22,0.01
5_Enumerate_Alternative_Full_2_DEFAULT_22084_Un-2-triple-9,0.27,0.79
97_Enumerate_Alternative_Full_1_DEFAULT_32033_2-triple-12,0.27,0.01
37_Enumerate_Alternative_Full_1_DEFAULT_3380_2-triple-15,0.3,0.31
5_Enumerate_Alternative_Full_2_DEFAULT_22084_2-triple-15,0.3,0.01
97_Enumerate_Alternative_Full_1_DEFAULT_32033_Un-2-triple-9,0.49,0
56_Enumerate_Alternative_Full_2_DEFAULT_27702_2-triple-21,0.63,2.28
61_Enumerate_Alternative_Full_1_DEFAULT_14189_2-triple-18,0.66,3.26
52_Enumerate_Alternative_Full_1_DEFAULT_759_2-triple-18,0.73,0.6
61_Enumerate_Alternative_Full_1_DEFAULT_14189_Un-2-triple-9,0.75,0.2
5_Enumerate_Alternative_Full_2_DEFAULT_22084_2-triple-21,0.8,0.39
5_Enumerate_Alternative_Full_2_DEFAULT_22084_2-triple-18,0.88,1.04
97_Enumerate_Alternative_Full_1_DEFAULT_32033_2-triple-15,0.96,0.04
52_Enumerate_Alternative_Full_1_DEFAULT_759_2-triple-21,1.38,1.1
56_Enumerate_Alternative_Full_2_DEFAULT_27702_2-triple-18,1.4,0.68
81_Enumerate_Alternative_Full_3_DEFAULT_2231_2-triple-15,1.88,1.74
37_Enumerate_Alternative_Full_1_DEFAULT_3380_2-triple-21,2.24,1.61
56_Enumerate_Alternative_Full_2_DEFAULT_27702_Un-2-triple-9,2.68,0.67
81_Enumerate_Alternative_Full_3_DEFAULT_2231_Un-2-triple-12,3.31,2.99
37_Enumerate_Alternative_Full_1_DEFAULT_3380_2-triple-18,3.31,0.38
81_Enumerate_Alternative_Full_3_DEFAULT_2231_2-triple-18,5.16,9.95
37_Enumerate_Alternative_Full_1_DEFAULT_3380_Un-2-triple-9,6.52,0.41
97_Enumerate_Alternative_Full_1_DEFAULT_32033_2-triple-18,7.91,0.81
61_Enumerate_Alternative_Full_1_DEFAULT_14189_2-triple-21,13.06,132.84
52_Enumerate_Alternative_Full_1_DEFAULT_759_Un-2-triple-12,14.65,10.69
5_Enumerate_Alternative_Full_2_DEFAULT_22084_Un-2-triple-12,17.66,138.21
81_Enumerate_Alternative_Full_3_DEFAULT_2231_Un-2-triple-15,23,20.98
97_Enumerate_Alternative_Full_1_DEFAULT_32033_Un-2-triple-12,29.42,0
81_Enumerate_Alternative_Full_3_DEFAULT_2231_Un-2-triple-18,66.99,76.6
97_Enumerate_Alternative_Full_1_DEFAULT_32033_2-triple-21,129.54,15.97
37_Enumerate_Alternative_Full_1_DEFAULT_3380_Un-2-triple-15,300,300
52_Enumerate_Alternative_Full_1_DEFAULT_759_Un-2-triple-15,300,300
56_Enumerate_Alternative_Full_2_DEFAULT_27702_Un-2-triple-15,300,300
5_Enumerate_Alternative_Full_2_DEFAULT_22084_Un-2-triple-15,300,300
61_Enumerate_Alternative_Full_1_DEFAULT_14189_Un-2-triple-15,300,300
97_Enumerate_Alternative_Full_1_DEFAULT_32033_Un-2-triple-15,300,0
37_Enumerate_Alternative_Full_1_DEFAULT_3380_Un-2-triple-18,300,300
52_Enumerate_Alternative_Full_1_DEFAULT_759_Un-2-triple-18,300,300
56_Enumerate_Alternative_Full_2_DEFAULT_27702_Un-2-triple-18,300,300
5_Enumerate_Alternative_Full_2_DEFAULT_22084_Un-2-triple-18,300,300
61_Enumerate_Alternative_Full_1_DEFAULT_14189_Un-2-triple-18,300,300
97_Enumerate_Alternative_Full_1_DEFAULT_32033_Un-2-triple-18,300,0
37_Enumerate_Alternative_Full_1_DEFAULT_3380_Un-2-triple-12,300,300
56_Enumerate_Alternative_Full_2_DEFAULT_27702_Un-2-triple-12,300,300
61_Enumerate_Alternative_Full_1_DEFAULT_14189_Un-2-triple-12,300,104.73
81_Enumerate_Alternative_Full_3_DEFAULT_2231_2-triple-21,300,300
