Problem,Encoding,Instance,Result,OptVal,Time,Solving
fastfood/,ABK,r110_d10_r5,UNKNOWN,[775;*],299.997,299.92
fastfood/,BASE,r110_d10_r5,UNKNOWN,[45;*],300.000,299.97
fastfood/,ABK,r140_d5_r5,UNKNOWN,[945;*],300.000,299.96
fastfood/,BASE,r140_d5_r5,UNKNOWN,[440;*],300.000,299.96
fastfood/,ABK,r160_d30_r5,OPTIMUM FOUND,10,0.061,0.00
fastfood/,BASE,r160_d30_r5,UNKNOWN,,300.000,299.94
fastfood/,ABK,r160_d4_r5,UNKNOWN,[1770;*],300.000,299.94
fastfood/,BASE,r160_d4_r5,UNKNOWN,[780;*],300.000,299.94
fastfood/,ABK,r180_d6_r5,UNKNOWN,[1225;*],300.000,299.92
fastfood/,BASE,r180_d6_r5,UNKNOWN,[540;*],300.000,299.92
fastfood/,ABK,r220_d10_r10,UNKNOWN,[1560;*],300.000,299.93
fastfood/,BASE,r220_d10_r10,UNKNOWN,,300.000,299.94
fastfood/,ABK,r280_d5_r10,UNKNOWN,[1970;*],300.000,299.88
fastfood/,BASE,r280_d5_r10,UNKNOWN,[120;*],300.000,299.88
fastfood/,ABK,r320_d30_r10,OPTIMUM FOUND,20,0.167,0.00
fastfood/,BASE,r320_d30_r10,UNKNOWN,,300.000,299.84
fastfood/,ABK,r320_d4_r10,UNKNOWN,[3480;*],300.000,299.83
fastfood/,BASE,r320_d4_r10,UNKNOWN,[950;*],300.000,299.84
fastfood/,ABK,r360_d6_r10,UNKNOWN,[2320;*],300.000,299.77
fastfood/,BASE,r360_d6_r10,UNKNOWN,[20;*],300.000,299.78
fastfood/,ABK,r44_d10_r2,UNKNOWN,[316;*],300.000,299.99
fastfood/,BASE,r44_d10_r2,UNKNOWN,[222;*],300.000,299.99
fastfood/,ABK,r57_d5_r2,UNKNOWN,[418;*],300.000,299.98
fastfood/,BASE,r57_d5_r2,UNKNOWN,[310;*],300.000,299.98
fastfood/,ABK,r64_d30_r2,OPTIMUM FOUND,4,0.033,0.00
fastfood/,BASE,r64_d30_r2,OPTIMUM FOUND,4,18.239,18.21
fastfood/,ABK,r64_d4_r2,UNKNOWN,[670;*],300.000,299.97
fastfood/,BASE,r64_d4_r2,UNKNOWN,[376;*],300.000,299.97
fastfood/,ABK,r72_d6_r2,UNKNOWN,[482;*],300.000,299.96
fastfood/,BASE,r72_d6_r2,UNKNOWN,[294;*],300.000,299.96
