Problem,Encoding,Instance,Result,OptVal,Time,Solving
fastfood/,ABK,r110_d10_r5,UNKNOWN,[775;*],299.997,299.92
fastfood/,BASE,r110_d10_r5,UNKNOWN,[45;*],300,299.97
fastfood/,ABK,r140_d5_r5,UNKNOWN,[945;*],300,299.96
fastfood/,BASE,r140_d5_r5,UNKNOWN,[440;*],300,299.96
fastfood/,ABK,r160_d30_r5,OPTIMUM FOUND,10,0.061,0
fastfood/,BASE,r160_d30_r5,UNKNOWN,,300,299.94
fastfood/,ABK,r160_d4_r5,UNKNOWN,[1770;*],300,299.94
fastfood/,BASE,r160_d4_r5,UNKNOWN,[780;*],300,299.94
fastfood/,ABK,r180_d6_r5,UNKNOWN,[1225;*],300,299.92
fastfood/,BASE,r180_d6_r5,UNKNOWN,[540;*],300,299.92
fastfood/,ABK,r220_d10_r10,UNKNOWN,[1560;*],300,299.93
fastfood/,BASE,r220_d10_r10,UNKNOWN,,300,299.94
fastfood/,ABK,r280_d5_r10,UNKNOWN,[1970;*],300,299.88
fastfood/,BASE,r280_d5_r10,UNKNOWN,[120;*],300,299.88
fastfood/,ABK,r320_d30_r10,OPTIMUM FOUND,20,0.167,0
fastfood/,BASE,r320_d30_r10,UNKNOWN,,300,299.84
fastfood/,ABK,r320_d4_r10,UNKNOWN,[3480;*],300,299.83
fastfood/,BASE,r320_d4_r10,UNKNOWN,[950;*],300,299.84
fastfood/,ABK,r360_d6_r10,UNKNOWN,[2320;*],300,299.77
fastfood/,BASE,r360_d6_r10,UNKNOWN,[20;*],300,299.78
